Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Mason Plumlee,PHO,UTA,W,29.7,0,1,0.0,0,0,0.0,2,2,1.0,2,4,6,1,2,1,1,3,2,5.1,2025-02-07
Taurean Prince,MIL,ATL,L,30.82,4,7,0.571,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,4,9,5.1,2025-02-07
Jaime Jaquez Jr.,MIA,BRK,L,18.57,2,6,0.333,1,3,0.333,0,0,0.0,2,1,3,3,0,0,0,1,5,5.0,2025-02-07
Tim Hardaway Jr.,DET,PHI,W,30.8,2,9,0.222,2,8,0.25,0,0,0.0,0,5,5,3,0,1,0,0,6,4.8,2025-02-07
Kyle Lowry,PHI,DET,L,14.98,0,1,0.0,0,0,0.0,2,2,1.0,1,1,2,3,0,1,0,1,2,4.7,2025-02-07
Jalen Wilson,BRK,MIA,W,17.08,3,8,0.375,1,4,0.25,1,2,0.5,4,0,4,0,0,0,1,1,8,4.6,2025-02-07
Tosan Evbuomwan,BRK,MIA,W,20.12,1,6,0.167,0,2,0.0,3,4,0.75,1,2,3,2,0,2,0,1,5,4.5,2025-02-07
Taj Gibson,CHO,SAS,W,13.3,2,4,0.5,0,0,0.0,0,0,0.0,2,2,4,0,1,1,0,3,4,4.5,2025-02-07
Kyle Kuzma,MIL,ATL,L,23.95,4,13,0.308,3,8,0.375,1,2,0.5,0,7,7,1,0,0,2,1,12,4.5,2025-02-07
Ricky Council IV,PHI,DET,L,2.18,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,0,3,4.4,2025-02-07
Ryan Dunn,PHO,UTA,W,14.57,2,4,0.5,1,2,0.5,1,2,0.5,1,2,3,0,0,1,0,3,6,4.4,2025-02-07
Andre Drummond,PHI,DET,L,7.68,1,2,0.5,0,0,0.0,0,0,0.0,1,3,4,2,0,1,0,1,2,4.3,2025-02-07
Duncan Robinson,MIA,BRK,L,29.1,4,11,0.364,2,6,0.333,0,0,0.0,0,0,0,1,2,0,2,1,10,4.2,2025-02-07
Jaylin Williams,OKC,TOR,W,17.45,2,5,0.4,0,3,0.0,0,0,0.0,2,4,6,3,0,1,2,2,4,3.9,2025-02-07
Monte Morris,PHO,UTA,W,14.65,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,0,5,3.7,2025-02-07
Tyler Herro,MIA,BRK,L,37.78,6,22,0.273,2,11,0.182,1,1,1.0,1,3,4,6,1,0,4,3,15,3.6,2025-02-07
Nikola Jović,MIA,BRK,L,31.73,3,8,0.375,2,5,0.4,0,0,0.0,0,1,1,4,2,0,4,3,8,3.5,2025-02-07
Jamal Shead,TOR,OKC,L,22.48,3,10,0.3,1,3,0.333,0,2,0.0,0,3,3,6,0,0,0,5,7,3.5,2025-02-07
Ryan Rollins,MIL,ATL,L,12.73,1,4,0.25,1,1,1.0,0,0,0.0,1,3,4,1,0,0,0,0,3,2.9,2025-02-07
DaQuan Jeffries,CHO,SAS,W,29.98,2,9,0.222,0,4,0.0,0,0,0.0,3,2,5,5,1,1,2,4,4,2.8,2025-02-07
Andre Jackson Jr.,MIL,ATL,L,15.8,0,1,0.0,0,1,0.0,0,0,0.0,2,2,4,2,0,0,0,0,0,2.7,2025-02-07
Keaton Wallace,ATL,MIL,W,18.5,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,3,0,1,1,0,3,2.7,2025-02-07
Haywood Highsmith,MIA,BRK,L,18.18,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,1,2,1,0,1,0,2.5,2025-02-07
Julian Champagnie,SAS,CHO,L,19.22,1,3,0.333,0,2,0.0,1,1,1.0,0,0,0,2,1,0,1,1,3,2.3,2025-02-07
AJ Johnson,WAS,CLE,L,8.83,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,4,0,0,0,1,2,2.3,2025-02-07
Micah Potter,UTA,PHO,L,11.45,1,2,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,0,1,2,3,2.2,2025-02-07
Brice Sensabaugh,UTA,PHO,L,12.72,1,5,0.2,0,3,0.0,2,2,1.0,1,2,3,0,0,0,0,0,4,2.2,2025-02-07
Branden Carlson,OKC,TOR,W,1.77,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,2.0,2025-02-07
Ron Holland,DET,PHI,W,14.55,1,5,0.2,1,3,0.333,0,0,0.0,0,1,1,2,1,0,0,2,3,1.8,2025-02-07
Johnny Juzang,UTA,PHO,L,15.93,3,9,0.333,1,5,0.2,0,0,0.0,0,1,1,0,0,0,0,1,7,1.8,2025-02-07
Paul Reed,DET,PHI,W,6.7,1,4,0.25,0,0,0.0,0,0,0.0,2,2,4,1,1,1,1,3,2,1.8,2025-02-07
Anthony Gill,WAS,CLE,L,5.85,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,1.7,2025-02-07
Tristan Thompson,CLE,WAS,W,8.73,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1.7,2025-02-07
Dillon Jones,OKC,TOR,W,9.02,0,2,0.0,0,1,0.0,1,2,0.5,0,2,2,1,1,0,0,1,1,1.1,2025-02-07
Garrison Mathews,ATL,MIL,W,5.83,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,2025-02-07
Damion Lee,PHO,UTA,W,5.3,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,0.6,2025-02-07
Adem Bona,PHI,DET,L,10.52,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,3,2,0.5,2025-02-07
Pelle Larsson,MIA,BRK,L,10.65,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,3,0,0.5,2025-02-07
Chuma Okeke,PHI,DET,L,2.18,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2025-02-07
Adam Flagler,OKC,TOR,W,1.77,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-02-07
Daniss Jenkins,DET,PHI,W,0.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-02-07
Keldon Johnson,SAS,CHO,L,16.28,0,3,0.0,0,3,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,-0.1,2025-02-07
Alex Ducas,OKC,TOR,W,4.32,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,-0.3,2025-02-07
Emoni Bates,CLE,WAS,W,5.18,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,2,0,-0.8,2025-02-07
A.J. Green,MIL,ATL,L,20.75,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,2,2,-0.9,2025-02-07
Kenrich Williams,OKC,TOR,W,16.7,0,5,0.0,0,3,0.0,0,0,0.0,2,1,3,2,0,0,1,0,0,-1.4,2025-02-07
Tyrese Martin,BRK,MIA,W,20.7,1,5,0.2,0,4,0.0,0,0,0.0,0,5,5,1,0,0,3,2,2,-2.7,2025-02-07
Eric Gordon,PHI,DET,L,10.35,0,4,0.0,0,3,0.0,0,0,0.0,0,3,3,2,0,0,3,1,0,-3.9,2025-02-07
